id,type,enum_values,unit,pack,question_en,true_en,false_en,options_en,extractor,gate_act,gate_ask,public,filterable,required_for_publish,label_es,label_en
rentabilidad_declarada,decimal,,%,financiero,Is {candidate} the yearly rental yield that the listing claims?,Yes: it is the yield the listing claims.,No: it is another percentage.,,regex,0.85,0.6,no,no,no,Rentabilidad declarada,Stated yield
terraza,boolean,,,fisico,Does the property have a terrace?,"Yes: the property has its own terrace (not a small balcony, not only a shared roof).",No: it has no terrace or it is not mentioned.,,feed+features_table+regex,0.85,0.6,si,si,no,Terraza,Terrace
balcon,boolean,,,fisico,Does the property have a balcony?,Yes: it has at least one balcony.,No: it has no balcony or it is not mentioned.,,feed+features_table+regex,0.85,0.6,si,si,no,Balcón,Balcony
garaje,enum,incluido|opcional|no_tiene,,fisico,"Does the property come with a parking space, and is it included in the price?",,,"incluido: A parking space is included in the price. | opcional: A parking space is available for an extra price. | no_tiene: There is no parking space.",feed+features_table+regex,0.85,0.6,si,si,no,Garaje,Parking
trastero,boolean,,,fisico,Does the property include a storage room?,Yes: it includes a storage room.,No: it has no storage room or it is not mentioned.,,feed+features_table+regex,0.85,0.6,si,si,no,Trastero,Storage room
ascensor,boolean,,,fisico,Does the building have a lift (elevator)?,Yes: the building has a lift.,No: there is no lift or it is not mentioned.,,feed+features_table+regex,0.85,0.6,si,si,no,Ascensor,Lift
piscina,enum,privada|comunitaria|no_tiene,,fisico,Does the property have access to a swimming pool?,,,"privada: A private pool for this property only. | comunitaria: A shared pool of the building or the residential complex. | no_tiene: There is no pool.",feed+features_table+regex,0.85,0.6,si,si,no,Piscina,Swimming pool
aire_acondicionado,boolean,,,fisico,Does the property have air conditioning?,Yes: it has air conditioning (split units or ducted).,"No: it has no air conditioning, or only pre-installation, or it is not mentioned.",,feed+features_table+regex,0.85,0.6,si,si,no,Aire acondicionado,Air conditioning
calefaccion,boolean,,,fisico,Does the property have a heating system?,"Yes: it has central, individual or underfloor heating, or heat pumps.",No: it has no heating or it is not mentioned.,,feed+features_table+regex,0.85,0.6,si,si,no,Calefacción,Heating
orientacion,enum,norte|sur|este|oeste|noreste|noroeste|sureste|suroeste,,fisico,Which direction do the main rooms of the property face?,,,"norte: North. | sur: South. | este: East. | oeste: West. | noreste: North-east. | noroeste: North-west. | sureste: South-east. | suroeste: South-west.",feed+features_table+regex,0.8,0.55,si,no,no,Orientación,Orientation
exterior,enum,exterior|interior,,fisico,Do the main rooms face the street or an open space (exterior) or an inner courtyard (interior)?,,,"exterior: Exterior: the main rooms face the street or an open space. | interior: Interior: the main rooms face an inner courtyard or light well.",feed+features_table+regex,0.8,0.55,si,si,no,Exterior o interior,Exterior or interior
estado,ordinal,a_reformar|para_actualizar|buen_estado|reformado|a_estrenar,,fisico,What condition is the property in?,,,"a_reformar: Needs a full renovation. | para_actualizar: Usable, but kitchen, bathrooms or finishes need updating. | buen_estado: Good condition, ready to move in. | reformado: Recently renovated. | a_estrenar: New, never lived in.",feed+regex,0.6,0.4,si,si,no,Estado,Condition
luminosidad,ordinal,oscuro|poca_luz|luminoso|muy_luminoso,,fisico,How much natural light does the property get?,,,"oscuro: Dark, little natural light. | poca_luz: Some natural light, not much. | luminoso: Bright. | muy_luminoso: Very bright, lots of natural light.",regex,0.6,0.4,si,si,no,Luminosidad,Natural light
ruido,ordinal,muy_ruidoso|algo_ruidoso|tranquilo|muy_tranquilo,,fisico,How quiet are the property and its surroundings?,,,"muy_ruidoso: Very noisy (busy road, nightlife). | algo_ruidoso: Some noise. | tranquilo: Quiet. | muy_tranquilo: Very quiet.",regex,0.6,0.4,si,si,no,Tranquilidad,Quietness
calidad_acabados,ordinal,basica|media|alta|lujo,,fisico,What is the quality of the finishes and materials?,,,"basica: Basic finishes. | media: Standard finishes. | alta: High-quality finishes. | lujo: Luxury finishes and materials.",regex,0.6,0.4,si,no,no,Calidad de acabados,Quality of finishes
vistas,enum,mar|montana|ciudad|jardin|sin_vistas_destacables,,fisico,What kind of views does the property have?,,,"mar: Sea views. | montana: Mountain or countryside views. | ciudad: City views. | jardin: Garden or park views. | sin_vistas_destacables: No notable views are mentioned.",regex,0.8,0.55,si,si,no,Vistas,Views
accesible,boolean,,,fisico,"Can the property be reached without steps (step-free access, suitable for wheelchairs)?",Yes: the listing says it has step-free or adapted access.,No: it has steps or it is not mentioned.,,feed+regex,0.85,0.6,si,si,no,Accesible,Step-free access
amueblado,boolean,,,fisico,Is the property offered furnished?,Yes: it is offered furnished.,No: it is unfurnished or it is not mentioned.,,feed+features_table+regex,0.85,0.6,si,si,no,Amueblado,Furnished
vpo,boolean,,,legal,Is the property subsidised or price-controlled housing (VPO or similar protection)?,"Yes: it is subsidised housing, with sale or rent restrictions.",No: nothing says it is subsidised housing.,,feed+regex,0.9,0.7,si,si,no,Vivienda protegida (VPO),Subsidised housing
okupado,boolean,,,legal,Is the property occupied by people without a legal right to live there?,"Yes: the listing says it is illegally occupied (""okupado"", ""sin posesión"").",No: nothing says it is illegally occupied.,,regex,0.9,0.7,si,si,no,Ocupado ilegalmente,Illegally occupied
nuda_propiedad,boolean,,,legal,Is only the bare ownership sold (someone else keeps the right to live in it)?,"Yes: only the bare ownership is sold (""nuda propiedad"").",No: the full ownership is sold or it is not mentioned.,,regex,0.9,0.7,si,si,no,Nuda propiedad,Bare ownership
subasta,boolean,,,legal,Is the property sold through an auction or a foreclosure process?,Yes: it is sold at auction or comes from a foreclosure process.,No: nothing says it is an auction.,,regex,0.9,0.7,si,si,no,Subasta,Auction
cargas_mencionadas,boolean,,,legal,"Does the listing mention debts, liens or other charges on the property?",Yes: it mentions debts or charges on the property.,No: nothing is said about debts or charges.,,regex,0.9,0.7,si,no,no,Cargas mencionadas,Charges mentioned
certificado_energetico,enum,a|b|c|d|e|f|g|en_tramite|exento,,legal,What is the energy rating of the property?,,,"a: Energy rating A. | b: Energy rating B. | c: Energy rating C. | d: Energy rating D. | e: Energy rating E. | f: Energy rating F. | g: Energy rating G. | en_tramite: The energy certificate is being processed. | exento: The property is exempt from the energy certificate.",feed+features_table+regex,0.85,0.6,si,si,no,Certificado energético,Energy rating
licencia_turistica,boolean,,,vacacional,Does the listing state that the property has a tourist rental licence?,Yes: it states a tourist licence or its registration number.,No: nothing is said about a tourist licence.,,feed+regex,0.9,0.7,si,si,no,Licencia turística,Tourist licence
